Model,Feature_Type,Lookback,Train_IC,Train_PIC,Train_DA,Train_MSE,Train_Sharpe,Train_IR,Train_MaxDrawdown,Train_AnnualReturn,Val_IC,Val_PIC,Val_DA,Val_MSE,Val_Sharpe,Val_IR,Val_MaxDrawdown,Val_AnnualReturn,Test_IC,Test_PIC,Test_DA,Test_MSE,Test_Sharpe,Test_IR,Test_MaxDrawdown,Test_AnnualReturn
tcn,price_onchain,48,0.116800,0.134600,0.534000,0.000194,2.557800,0.713800,0.420200,1.667100,0.038100,0.032400,0.526200,0.000122,0.405600,0.320000,0.382700,0.209700,-0.019500,-0.007100,0.497600,0.000077,-2.459500,-0.139300,0.649000,-1.012800
timemixer,price_onchain,48,0.064200,0.063800,0.519100,0.000194,1.776600,0.496000,0.506000,1.160600,0.033700,0.040200,0.501700,0.000122,0.428000,0.323100,0.311100,0.221200,0.018400,0.025900,0.502900,0.000077,-0.171300,0.159000,0.425100,-0.070400
transformer,price_onchain,48,0.077100,0.052700,0.529600,0.000195,1.232400,0.528200,0.649100,0.805100,0.020700,0.023500,0.510300,0.000122,-1.058700,0.243400,0.513500,-0.547900,0.001300,0.011700,0.501400,0.000077,-1.956000,0.106500,0.601300,-0.804300
xgboost,price_onchain,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.502900,0.000077,-0.711400,0.000000,0.518000,-0.292100
cnn_transformer,price_only,48,0.179000,0.162300,0.560600,0.000193,4.347700,1.064300,0.312200,2.822100,0.048400,0.045400,0.524800,0.000122,-0.273700,0.330500,0.430500,-0.141400,-0.033800,-0.040000,0.482900,0.000077,-2.973300,-0.173000,0.731500,-1.223100
dlinear,price_only,48,0.111800,0.118700,0.540800,0.000193,2.299300,0.649100,0.536200,1.498900,0.028900,0.030700,0.526200,0.000122,0.186200,0.108200,0.293200,0.096300,0.018600,0.019800,0.500700,0.000077,-1.426400,0.169000,0.605000,-0.586200
lstm,price_only,48,0.041400,0.062100,0.516700,0.000195,0.788200,0.450900,0.844300,0.515300,0.061400,0.065400,0.511300,0.000122,0.843000,0.608000,0.376400,0.435700,-0.024400,0.002000,0.482900,0.000077,-2.041100,0.094700,0.605800,-0.839100
lstm_transformer,price_only,48,0.015900,0.006800,0.516400,0.000195,0.738400,0.403900,0.840400,0.482600,0.015200,0.035300,0.515600,0.000122,0.939200,0.527400,0.332500,0.485400,-0.005100,0.014200,0.503100,0.000077,-0.711600,0.426600,0.518000,-0.292300
modern_tcn,price_only,48,0.416400,0.420100,0.639500,0.000188,12.303500,1.987100,0.207800,7.715500,0.033200,0.042700,0.521400,0.000122,-0.686900,0.307800,0.581400,-0.355300,0.000600,-0.003500,0.495400,0.000077,-2.215400,0.151800,0.658100,-0.911700
patchtst,price_only,48,0.076700,0.091500,0.528700,0.000194,1.990600,0.464700,0.611400,1.299900,0.054200,0.073100,0.517600,0.000121,0.567200,0.330200,0.352300,0.293200,-0.030200,-0.021100,0.500200,0.000077,-2.559000,-0.241100,0.724400,-1.051500
tcn,price_only,48,0.229600,0.286600,0.560800,0.000191,5.874000,0.990200,0.286900,3.792000,0.011500,0.037700,0.513700,0.000122,0.055600,-0.036000,0.353000,0.028800,-0.023500,-0.018600,0.485800,0.000077,-2.630400,-0.304500,0.707000,-1.081600
timemixer,price_only,48,0.041100,0.036200,0.516500,0.000195,0.705900,0.364500,0.879200,0.461300,0.035400,0.051400,0.516600,0.000122,1.138900,0.370700,0.346200,0.588500,-0.016500,-0.007000,0.503600,0.000078,-0.888300,0.121900,0.563700,-0.364700
transformer,price_only,48,0.062200,0.064200,0.524200,0.000194,1.168100,0.467000,0.780500,0.763900,0.030900,0.040900,0.508900,0.000122,0.400200,0.315200,0.388000,0.206900,-0.005400,0.015700,0.509900,0.000078,-0.041800,-0.011300,0.382500,-0.017200
xgboost,price_only,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.503100,0.000077,-0.711600,0.000000,0.518000,-0.292300
