full_equity,full_drawdown,fng_equity,fng_drawdown
1.17171420,-0.01549993,1.18724055,-0.02736066
1.17714855,-0.01093387,1.18054694,-0.03284435
1.17413603,-0.01346505,1.18356815,-0.03036925
1.16962335,-0.01725670,1.18020279,-0.03312630
1.17207935,-0.01519312,1.17654438,-0.03612343
1.18462620,-0.00465098,1.16394974,-0.04644151
1.18265711,-0.00630545,1.16085107,-0.04898007
1.18862778,-0.00128877,1.15382965,-0.05473233
1.20212768,0.00000000,1.16578050,-0.04494167
1.18139891,-0.01724341,1.14567848,-0.06141013
1.19017057,-0.00994663,1.15418492,-0.05444127
1.18093240,-0.01763147,1.14522607,-0.06178075
1.19217306,-0.00828084,1.15612686,-0.05285035
1.20807597,0.00000000,1.17154894,-0.04021591
1.20293564,-0.00425497,1.16656403,-0.04429977
1.20448734,-0.00297054,1.16806881,-0.04306699
1.19720914,-0.00899515,1.17395887,-0.03824159
1.19961999,-0.00699954,1.17159485,-0.04017830
1.20113685,-0.00574394,1.17011342,-0.04139195
1.20159040,-0.00536851,1.16967159,-0.04175392
1.18895397,-0.01582847,1.15854050,-0.05087299
1.20124121,-0.00565756,1.17051343,-0.04106425
1.20368091,-0.00363807,1.17289072,-0.03911666
1.20772449,-0.00029094,1.16777769,-0.04330548
1.20618608,-0.00156438,1.16926522,-0.04208684
1.21403165,0.00000000,1.16165979,-0.04831754
1.21224266,-0.00147360,1.16337161,-0.04691514
1.20750589,-0.00537529,1.16791742,-0.04319101
1.20822097,-0.00478627,1.16722579,-0.04375763
1.19426584,-0.01628114,1.18070741,-0.03271289
1.19239281,-0.01782395,1.18255917,-0.03119585
1.21235951,-0.00137735,1.20117864,-0.01594196
1.22300099,0.00000000,1.21172199,-0.00730440
1.22311026,0.00000000,1.21183025,-0.00721570
1.22076949,-0.00191379,1.21293761,-0.00630850
1.22121036,-0.00155334,1.21249957,-0.00666737
1.21630815,-0.00556133,1.21736681,-0.00267991
1.21998741,-0.00255321,1.21368435,-0.00569675
1.23558736,0.00000000,1.19816500,-0.01841087
1.23709994,0.00000000,1.19669822,-0.01961252
1.23400996,-0.00249776,1.19251246,-0.02304168
1.23341694,-0.00297713,1.19193938,-0.02351117
1.22963103,-0.00603744,1.19440604,-0.02149038
1.18164537,-0.04482626,1.14898942,-0.05869766
1.18136613,-0.04505198,1.14871790,-0.05892010
1.20597047,-0.02516327,1.17264227,-0.03932021
