Feature_Type,Metric,Mean,Std
full,Test_Sharpe,5.1869,0.4408424151553478
full,Test_IC,0.15018,0.013916788422621075
price_funding,Test_Sharpe,-1.5694399999999997,0.7753883594689825
price_funding,Test_IC,-0.013820000000000002,0.02177043867265885
price_funding_fng,Test_Sharpe,1.89084,0.4074930097559957
price_funding_fng,Test_IC,0.07748,0.018678650914881405
price_long_onchain,Test_Sharpe,-3.4125199999999998,0.6910853217946392
price_long_onchain,Test_IC,-0.027339999999999996,0.021309575312520895
price_onchain,Test_Sharpe,-1.0247800000000002,0.7728845754703609
price_onchain,Test_IC,0.015239999999999998,0.01088705653517056
price_only,Test_Sharpe,-2.23518,1.0872290798171287
price_only,Test_IC,-0.0422,0.027180691676261665
