bench_equity,bench_drawdown,patchtst_equity,patchtst_drawdown
1.0070025,0.0,1.007002470075028,0.0
1.0190358,0.0,0.99411663008794,-0.012796234736274115
1.0248258,0.0,0.9987657367232108,-0.00817945694929978
1.0292298,0.0,0.9934980675348971,-0.013410495943594558
1.0262204,-0.0029238462,0.9964114237779914,-0.01051739852857303
1.028437,-0.0007702112,0.997565525567156,-0.009371322105266366
1.0202161,-0.008757651,1.0045988699842103,-0.002386885993078569
1.0230613,-0.0059933066,1.006393663038104,-0.0006045735288797704
1.0179886,-0.010921955,1.0014034820025373,-0.005560053961013223
1.0241119,-0.0049725175,1.0074270496690465,0.0
1.0244702,-0.0046243668,1.0077795433309173,0.0
1.0296551,0.0,1.0017025793369712,-0.006030052935844021
1.0272036,-0.0023809075,1.004093292599881,-0.003657794758219257
1.0184186,-0.010912895,0.9945110551752571,-0.013166062204244766
1.0177218,-0.011589646,0.9938306608968859,-0.013841204186311962
1.0172806,-0.012018144,0.993267978118836,-0.014399543340716803
1.0177848,-0.011528373,0.9927670745891359,-0.014896580151014138
1.0013026,-0.027535915,0.976689993412933,-0.030849554472228147
0.9997947,-0.029000342,0.9752191311416484,-0.03230906243805087
1.007608,-0.021412075,0.9828403494601651,-0.024746676032263104
1.0100676,-0.019023359,0.9852395053714013,-0.022366040379244723
1.008533,-0.020513773,0.9837425633805128,-0.02385142674255658
1.0169384,-0.01235038,0.9919414576731511,-0.015715823726107914
1.0004854,-0.028329551,1.0072462577829864,-0.0005291688558872742
0.9884431,-0.040025055,1.0195177310616625,0.0
0.9871156,-0.041314304,1.0208887099787642,0.0
0.99117833,-0.037368596,1.0167042191142346,-0.0040988707423522674
0.98186415,-0.046414495,1.0263488125988016,0.0
0.98983383,-0.038674355,1.0180852322539495,-0.008051434603337237
0.98667854,-0.04173881,1.0213409094126273,-0.004879338412731138
0.9782415,-0.049932837,1.0301497375553297,0.0
0.97211796,-0.05588001,1.0366388041236272,0.0
0.9692996,-0.058617175,1.0396529189158545,0.0
0.9698886,-0.05804515,1.0390214932413282,-0.0006073427612599547
0.9675623,-0.060304463,1.0354933611311048,-0.004000910023979287
0.97745216,-0.050699472,1.0460775896833494,0.0
0.9787792,-0.04941064,1.0474976912803844,0.0
0.97778696,-0.05037427,1.0464357666272928,-0.0010137727862613577
0.9758157,-0.05228877,1.0443262245176241,-0.003027659907186675
0.97483337,-0.053242803,1.0432749051683847,-0.004031308276047918
0.97302663,-0.054997504,1.0413412498324497,-0.005877284025714191
0.9789389,-0.04925555,1.047668575707812,0.0
0.9827422,-0.04556179,1.0517389865068862,0.0
0.9876128,-0.040831447,1.0569514617237634,0.0
0.9800062,-0.048218966,1.0488108402415706,-0.007701982330311052
0.98522645,-0.043149054,1.0543976004315343,-0.0024162521976780482
0.97269905,-0.055315673,1.040990676768756,-0.01510077381318653
0.97635573,-0.05176431,1.0360553266848294,-0.019770193614051967
0.9762327,-0.051883757,1.036185893169096,-0.01964666241229407
0.9896233,-0.038878858,1.0221653056397701,-0.0329117819916358
0.9861085,-0.042292416,1.0258086136297466,-0.029464785490931122
0.9831986,-0.04511851,1.028844661735761,-0.026592328035729862
0.9842875,-0.044060946,1.0289547687868,-0.026488153856473406
