CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.06962043,0.00000000,1.02736479,-0.00296578,0.99620643,0.00000000,1.00094533,-0.01765996,1.05538371,0.00000000,1.01286050,0.00000000,1.02233033,-0.01782596,0.99871645,-0.01984741,0.98452480,-0.00855684,0.99664405,0.00000000
1.08257308,0.00000000,1.03980573,0.00000000,1.00827007,0.00000000,1.01306635,-0.00576424,1.06816395,0.00000000,1.02512581,0.00000000,1.03368798,-0.00691442,0.98562370,-0.03269680,0.99644698,0.00000000,1.00871299,0.00000000
1.08402787,0.00000000,1.04120306,0.00000000,1.00962501,0.00000000,1.01442774,-0.00442816,1.06959938,0.00000000,1.02650341,0.00000000,1.03507708,-0.00557988,0.98596259,-0.03236421,0.99411148,-0.00234383,1.01006853,0.00000000
1.07957545,-0.00410729,1.03692653,-0.00410729,1.00547818,-0.00410729,1.01026119,-0.00851727,1.06520622,-0.00410729,1.02969305,0.00000000,1.03082571,-0.00966426,0.98191295,-0.03633857,0.99819458,0.00000000,1.00591988,-0.00410729
1.08976818,0.00000000,1.04671659,0.00000000,1.01497133,0.00000000,1.01979949,0.00000000,1.07526329,0.00000000,1.01997129,-0.00944142,1.04055818,-0.00031408,0.97166038,-0.04640057,1.00662077,0.00000000,1.01541719,0.00000000
1.08095847,-0.00808402,1.03825491,-0.00808402,1.00676628,-0.00808402,1.01155541,-0.00808402,1.06657083,-0.00808402,1.02821676,-0.00143373,1.03214628,-0.00839556,0.96283380,-0.05506309,0.99848322,-0.00808402,1.00720854,-0.00808402
1.08440969,-0.00491709,1.04156979,-0.00491709,1.00998062,-0.00491709,1.01478504,-0.00491709,1.06997612,-0.00491709,1.02493393,-0.00462189,1.03544166,-0.00522963,0.96590788,-0.05204615,1.00167112,-0.00491709,1.01042430,-0.00491709
1.09372237,0.00000000,1.05051457,0.00000000,1.01865412,0.00000000,1.02349980,0.00000000,1.07916485,0.00000000,1.01613201,-0.01316999,1.04433381,0.00000000,0.97420289,-0.04390533,1.01027326,0.00000000,1.01910160,0.00000000
1.10059028,0.00000000,1.05711116,0.00000000,1.02505065,0.00000000,1.02992676,0.00000000,1.08594134,0.00000000,1.00975132,-0.01936668,1.05089159,0.00000000,0.98032029,-0.03790163,1.01661716,0.00000000,1.01168316,-0.00727939
1.10378569,0.00000000,1.06018034,0.00000000,1.02802675,0.00000000,1.03291701,0.00000000,1.08909423,0.00000000,1.00681964,-0.02221381,1.05394271,0.00000000,0.97649374,-0.04165705,1.01956877,0.00000000,1.00874588,-0.01016162
1.10311511,-0.00060753,1.05953625,-0.00060753,1.02740219,-0.00060753,1.03228949,-0.00060753,1.08843257,-0.00060753,1.00743131,-0.02161978,1.05330241,-0.00060753,0.97492400,-0.04319762,1.01894936,-0.00060753,1.00935872,-0.00956027
1.10576414,0.00000000,1.05593234,-0.00400687,1.02390758,-0.00400687,1.03476844,0.00000000,1.09104635,0.00000000,1.00501206,-0.02396927,1.04971970,-0.00400687,0.97160789,-0.04645209,1.02139627,0.00000000,1.00693484,-0.01193872
1.09451902,-0.01016955,1.06667070,0.00000000,1.03432026,0.00000000,1.04425680,0.00000000,1.07995090,-0.01016955,1.01523258,-0.01404348,1.06039488,0.00000000,0.96075546,-0.05710279,1.01100913,-0.01016955,0.99568783,-0.02297492
1.09490936,-0.00981655,1.06811777,0.00000000,1.03572345,0.00000000,1.04567346,0.00000000,1.07848580,-0.01151238,1.01660987,-0.01270590,1.06183344,0.00000000,0.95945208,-0.05838195,1.00963757,-0.01151238,0.99433705,-0.02430038
1.09379880,-0.01082088,1.06703439,-0.00101429,1.03467292,-0.00101429,1.04461285,-0.00101429,1.07957970,-0.01050977,1.01557874,-0.01370730,1.06075644,-0.00101429,0.95751946,-0.06027864,1.01066163,-0.01050977,0.99233417,-0.02626572
1.09159156,-0.01281701,1.06488116,-0.00303021,1.03258499,-0.00303021,1.04250486,-0.00303021,1.07632156,-0.01349602,1.01352934,-0.01569761,1.05861587,-0.00303021,0.95558722,-0.06217497,1.01270111,-0.00851301,0.99334433,-0.02527449
1.09049210,-0.01381130,1.06380860,-0.00403436,1.03154497,-0.00403436,1.04145484,-0.00403436,1.07523749,-0.01448963,1.01250851,-0.01668900,1.05754963,-0.00403436,0.95462475,-0.06311955,1.01372110,-0.00751439,0.99135049,-0.02723096
