bench_equity,bench_drawdown,cnn_transformer_equity,cnn_transformer_drawdown,lstm_transformer_equity,lstm_transformer_drawdown,transformer_equity,transformer_drawdown,lstm_equity,lstm_drawdown,tcn_equity,tcn_drawdown,modern_tcn_equity,modern_tcn_drawdown,patchtst_equity,patchtst_drawdown,xgboost_equity,xgboost_drawdown
1.0070025,0.0,1.007002470075028,0.0,1.007002470075028,0.0,1.007002470075028,0.0,0.9930462235365656,0.0,1.007002470075028,0.0,1.007002470075028,0.0,1.007002470075028,0.0,1.007002470075028,0.0
1.0190358,0.0,0.99411663008794,-0.012796234736274115,0.99411663008794,-0.012796234736274115,0.99411663008794,-0.012796234736274115,0.9813198002600935,-0.011808537204552771,1.0190357921392756,0.0,1.0190357921392756,0.0,0.99411663008794,-0.012796234736274115,1.0190357921392756,0.0
1.0248258,0.0,0.9987657367232108,-0.00817945694929978,0.9987657367232108,-0.00817945694929978,0.9987657367232108,-0.00817945694929978,0.9859090609732033,-0.007187140330632835,1.0248257497569007,0.0,1.0248257497569007,0.0,0.9987657367232108,-0.00817945694929978,1.0248257497569007,0.0
1.0292298,0.0,1.0030577763762851,-0.003917263180545083,1.0030577763762851,-0.003917263180545083,0.9934980675348971,-0.013410495943594558,0.9901458510716555,-0.0029206822363020413,1.0194206353973547,-0.00527417891366222,1.0292297782429791,0.0,0.9934980675348971,-0.013410495943594558,1.0292297782429791,0.0
1.0262204,-0.0029238462,1.0001249872038065,-0.006829658392703886,1.0001249872038065,-0.006829658392703886,0.9964114237779914,-0.01051739852857303,0.9872508144151547,-0.005835991300356058,1.015424071747785,-0.009173928359378025,1.0262204660969445,-0.002923848697005127,0.9964114237779914,-0.01051739852857303,1.0262204660969445,-0.002923848697005127
1.028437,-0.0007702112,1.0022851744574606,-0.004684492598330925,1.0022851744574606,-0.004684492598330925,0.997565525567156,-0.009371322105266366,0.989383194520387,-0.0036886792672482516,1.0176173037586915,-0.007033825994242515,1.0284370174266932,-0.0007702466767326444,0.997565525567156,-0.009371322105266366,1.0284370174266932,-0.0007702466767326444
1.0202161,-0.008757651,1.0093517948000779,0.0,0.9942732580026373,-0.012640695977083616,1.0045988699842103,-0.002386885993078569,0.981474411971953,-0.01165284282880763,1.0094828276350571,-0.014971249625102656,1.0202160523035382,-0.008757739165717204,1.0045988699842103,-0.002386885993078569,1.0202160523035382,-0.008757739165717204
1.0230613,-0.0059933066,1.0111550793192718,0.0,0.9970461513519279,-0.009887084708300908,1.0018049717062751,-0.005161356126927474,0.9842116110744643,-0.008896476571491618,1.0056691743652473,-0.01869251957827711,1.0230612965897568,-0.005993298856697193,1.006393663038104,-0.0006045735288797704,1.0230612965897568,-0.005993298856697193
1.0179886,-0.010921955,1.0151781684631953,0.0,0.9921023197492512,-0.01479653801113967,1.0067971534402034,-0.00020388890884182054,0.9793314192599194,-0.013810841783178263,0.9996824032798318,-0.024534264954830687,1.017988469456632,-0.010922059411784146,1.0014034820025373,-0.005560053961013223,1.017988469456632,-0.010922059411784146
1.0241119,-0.0049725175,1.0202638184776498,0.0,0.9980699397570828,-0.008870415498861361,1.0007773520241223,-0.006181829971521169,0.9852222206979713,-0.007878790184338458,1.0056956184417494,-0.018666716092652025,1.0241117979048575,-0.004972631424305152,1.0074270496690465,0.0,1.0241117979048575,-0.004972631424305152
